EX_glc__D_e,EX_fru_e,EX_lac__D_e,EX_pyr_e,EX_ac_e,EX_akg_e,EX_succ_e,EX_fum_e,EX_mal__L_e,EX_etoh_e,EX_acald_e,EX_for_e,EX_gln__L_e,EX_glu__L_e,EX_co2_e,EX_h_e,EX_h2o_e,EX_nh4_e,EX_o2_e,EX_pi_e,EX_co2_e_flux,EX_h_e_flux,EX_h2o_e_flux,EX_nh4_e_flux,EX_o2_e_flux,EX_pi_e_flux,Biomass_Ecoli_core_flux
0.587,0.2932,0.1086,,2.2871,0.717,,9.4503,,,0.1214,0.3914,0.3754,,100,100,100,100,100,100,29.891632962276482,-12.264240257387826,12.504018062430228,-2.2982175874634043,-18.95088173852603,-2.0570020904859243,0.559165490658635
0.2906,7.6818,1.992,9.6015,,,,,,,,0.2158,,1.6424,100,100,100,100,100,100,39.321798598817864,9.400402731908024,35.25183868756713,-4.957146872210785,-32.30061588553974,-4.4523461485478695,1.2103042239236335
,,1.0727,1.0877,0.3315,0.2708,1.5651,1.1222,,,,0.9602,,,100,100,100,100,100,100,11.731540446806433,-4.865240848138004,7.579261045302117,-0.9630360111302627,-8.807958020811038,-0.6497066780635439,0.17661311823838446
5.991,5.2997,,1.2639,4.1594,0.3308,0.1816,0.5564,0.656,0.1493,0.3398,2.044,8.1527,,100,100,100,100,100,100,54.51835074301599,9.849357249828989,39.05326522310843,6.784023656437305,-46.476533168413425,-6.423541511712124,1.7461444292038397
,,0.342,0.4962,,,5.7182,1.3535,2.27,,,3.9342,5.0253,2.0745,100,100,100,100,100,100,40.13636261529372,-17.10770961832884,15.752929481507287,7.609145844806737,-28.898292214982142,-3.046662366253951,0.8281899492358531
5.7298,8.3682,6.5675,1.2953,,0.2866,0.1005,0.1024,,0.853,,4.3641,,,100,100,100,100,100,100,43.1293264507288,23.682628837597484,53.619142075085485,-8.840937465884927,-41.02097519553704,-5.96448735617493,1.6213573697705643
,,0.3687,4.789,0.732,0.1807,,0.1089,,3.2166,,,0.2286,0.6086,100,100,100,100,100,100,14.264253144656857,-1.246405217464655,12.71412674156118,-0.8089451580363308,-13.980670589418123,-1.2647859838740276,0.3438132992290806
,,5.5344,,0.1234,0.1107,8.6647,3.1572,0.182,0.112,8.8507,3.2849,,,100,100,100,100,100,100,39.753625989387096,-9.338940814867854,31.944755218109755,-5.585466456863874,-35.32449811182321,-3.7682026582425583,1.0243299693485666
0.3951,,,4.7851,3.5127,,,1.1325,,,,,5.11,4.4858,100,100,100,100,100,100,38.530496086728796,-11.969157986624264,13.637161835594016,9.871335012435857,-29.182545174881138,-3.2615438581558345,0.8866022937874355
,2.8109,,3.1022,,0.438,,,,0.7667,,0.2516,0.4206,,100,100,100,100,100,100,14.702393557828294,3.333668092960111,13.189722132920974,-1.3750038732449092,-12.799815092111883,-1.4951491322817796,0.406434102340983
0.1006,,8.6104,0.3876,0.8398,3.9228,0.2349,,1.5727,0.1086,,,6.663,,100,100,100,100,100,100,44.39086301250189,-13.28835636594066,22.21750613951793,7.526285678574346,-34.13156040705143,-3.912743741605871,1.0636213177497176
0.8137,0.9118,0.1396,,0.3831,,1.585,0.1055,,2.4545,,,0.6095,,100,100,100,100,100,100,11.647678741831243,1.7636708436950574,12.978330774424082,-0.6528844933449884,-12.502552703326959,-1.2628560529761268,0.34328867615628483
0.1396,0.2635,5.8219,3.5613,0.1088,,7.6291,,,0.4921,,1.1708,0.922,,100,100,100,100,100,100,33.98092347258668,-11.078356944697816,26.150900997613746,-2.3735866905260035,-27.522612796802285,-2.845370480934233,0.7734717375524516
0.1209,,8.0002,,0.1772,,,,,,,,,2.1916,100,100,100,100,100,100,17.483997852200158,-3.8143437679062706,16.276831197018872,-0.18584695824330616,-15.884132706142152,-1.6039308475076466,0.43600479721304797
2.0972,0.7537,1.2764,0.2128,0.9307,,,0.9158,,0.1206,1.5666,,3.6954,,100,100,100,100,100,100,22.176121382458884,0.978018056840467,13.74894515380728,3.9602880209202764,-19.482785903619728,-2.3143750765552973,0.6291285172901533
0.2105,0.7367,,0.462,2.0255,1.2161,,0.1101,,,0.1223,,0.9695,,100,100,100,100,100,100,12.293019286180675,-2.1575613923179113,8.057207967825729,0.6012594636107172,-10.028592189254393,-0.9024989200438832,0.2453309375713908
,,,1.2207,,,,3.4312,1.0226,,,,2.956,,100,100,100,100,100,100,20.8685792256453,-8.786296669442155,5.529029866777711,3.9401839800166516,-13.908365753538723,-1.3302742797668698,0.3616153205661949
9.6442,,0.5228,,,0.5857,0.2962,4.6989,,,0.3696,,,0.8543,100,100,100,100,100,100,36.799394097641574,10.437276847911752,32.87889702241371,-5.6233537186586995,-29.750955111406725,-4.370111637109347,1.1879499924183352
0.1551,,1.534,,,0.421,,2.0149,0.6282,,2.1147,0.6457,,1.4416,100,100,100,100,100,100,15.39706254988314,-3.8280128408937815,9.453151434319498,-0.38435058330879046,-12.28237539661082,-1.231867006091916,0.3348647636643176
,0.7923,1.4989,,,0.1957,0.523,,0.3199,0.7899,7.8916,,0.459,2.1816,100,100,100,100,100,100,18.065157756893743,3.4465134059454448,16.34844900187225,-0.24487825224024898,-19.994363106913003,-2.256332920062368,0.6133506184419473
,0.1301,7.4681,,,0.1199,0.1755,,1.1544,,,,,0.3463,100,100,100,100,100,100,15.727919786064765,-3.938821951532936,16.051646440912897,-1.589492397940243,-13.782294024757046,-1.30597115139062,0.3550088757959662
,0.3224,,1.1052,,,1.4462,0.4429,0.1083,8.8348,,2.3547,,,100,100,100,100,100,100,11.597509162715351,4.003230327359047,20.192470727850683,-2.474481272633284,-18.08077084858475,-1.6693944868023984,0.45380011601989534
9.0628,,2.1051,,0.5605,,,,8.4468,,0.2945,,,0.3241,100,100,100,100,100,100,43.05173369608622,5.604699729917661,43.32989716929722,-6.692261785009718,-33.10252808802251,-4.7335479200622785,1.286744752239166
,,,,2.1575,,4.5048,,,,,,,7.6164,100,100,100,100,100,100,30.889132345018275,-12.481300120808546,16.205801984100212,3.8329831793990388,-24.026374153575947,-2.5524602879153413,0.6938484486137325
,,0.1653,2.0,7.1015,,0.7522,6.3497,,3.3914,0.3779,,,,100,100,100,100,100,100,29.391938516042824,-10.62388407918643,21.99677428142537,-3.4920524712369008,-24.506105252032214,-2.355893013853259,0.640414552383528
