EX_glc__D_e,EX_fru_e,EX_lac__D_e,EX_pyr_e,EX_ac_e,EX_akg_e,EX_succ_e,EX_fum_e,EX_mal__L_e,EX_etoh_e,EX_acald_e,EX_for_e,EX_gln__L_e,EX_glu__L_e,EX_co2_e,EX_h_e,EX_h2o_e,EX_nh4_e,EX_o2_e,EX_pi_e,EX_co2_e_flux,EX_h_e_flux,EX_h2o_e_flux,EX_nh4_e_flux,EX_o2_e_flux,EX_pi_e_flux,Biomass_Ecoli_core_flux
7.4516,0.1032,,0.1374,0.2022,1.0973,,,,0.3781,9.8085,,0.1989,0.3034,100,100,100,100,100,100,27.20856969736454,18.761468775384287,32.14907986024638,-5.360559998924014,-29.788558295010517,-4.089531343170833,1.1116784035585403
,,7.4799,0.2413,,,0.6528,0.5682,,2.1289,,,,0.3237,100,100,100,100,100,100,16.062602923361187,-2.3910627049999413,18.57099462185062,-1.9649367378951266,-16.529167276962905,-1.544015545718664,0.4197177116151571
0.4234,,1.0306,,,0.3892,,,,,2.9296,,1.3356,,100,100,100,100,100,100,9.71362397687301,0.42303523455080994,6.708938769622851,1.338380404438747,-9.838840215424144,-0.8991790357598244,0.24442847629864506
,,,1.1227,3.9255,,,0.2547,0.1563,2.5438,3.8495,0.8012,1.2475,1.5165,100,100,100,100,100,100,17.944425529800533,-1.251520819348817,15.608895311631839,1.253383736976332,-19.473851063162897,-1.860747193512567,0.505816509504047
,,,6.7052,0.105,9.0576,1.5197,,0.6694,1.7599,,3.941,6.9649,,100,100,100,100,100,100,57.32642677875965,-17.12441909698904,20.663096892911856,6.832738630710968,-40.25971128414494,-4.787991428111002,1.301544411914802
,0.9125,4.2789,1.5607,4.2754,0.1335,,,,0.9761,1.6203,0.1851,0.4363,,100,100,100,100,100,100,18.775475371951682,-1.4446542106508493,20.17726695260646,-1.793983868402953,-18.86435755903709,-1.798995392586182,0.48903019887084714
,0.1086,,,1.049,5.5861,1.4983,,8.6872,,0.763,0.4558,0.1409,4.9499,100,100,100,100,100,100,51.85420892729066,-20.83184902025478,28.141802931121923,-0.7326604338162973,-33.40329813328848,-4.023821289590662,1.093816100685208
0.1776,3.3768,,0.3024,,9.6897,1.4874,,1.0651,,3.2855,,0.9096,,100,100,100,100,100,100,43.557581530876774,-3.7657659411682918,26.888469615530482,-4.389335806380731,-31.779500793318675,-4.188552793231471,1.138595915195997
0.1625,,0.2642,1.222,0.234,0.1314,,0.481,2.6507,,,2.2133,,0.2207,100,100,100,100,100,100,12.442388722280967,-5.036215217044936,8.229490925319732,-0.7718903043119327,-8.247490209440768,-0.6696453111194759,0.1820331397285673
0.4685,1.4177,0.2188,,,,,,0.1778,0.1131,0.2124,1.6441,0.3708,,100,100,100,100,100,100,7.392605413704223,2.3594761053469724,7.550183287173291,-0.25748455170668066,-7.036879993694669,-0.6740266175842379,0.18322413286874267
,,,,,,,,0.2481,1.2497,,,,0.431,100,100,100,100,100,100,3.8027904279233966,-0.4889626037561056,4.258037132270301,0.19471995641881032,-4.538794448172772,-0.15940496558137693,0.04333187418962545
,1.7246,3.7995,0.7483,,,0.1683,,,,,0.7846,,0.2054,100,100,100,100,100,100,12.22350729246164,1.0532606152722817,13.20142765666351,-1.5202673002470912,-11.29663215201716,-1.1642114688635055,0.31647360993381274
0.9617,,,0.328,5.0708,2.1174,1.5491,,0.464,,8.9342,,,,100,100,100,100,100,100,24.118993072450415,0.14450766802515827,22.555859711381743,-3.7523493944270943,-24.27057178157286,-2.5315008284329013,0.6881509306094297
,8.1973,,,5.2089,,,,,,0.9956,0.794,,7.2958,100,100,100,100,100,100,40.58941200153126,7.2958025519446235,35.837308826525614,-0.06963960893539821,-35.87769508327088,-4.9690512561235956,1.3507628390799953
0.1247,3.3221,3.5548,,,,,0.1849,,,0.5018,1.3847,,0.8024,100,100,100,100,100,100,15.868494970004903,4.478989395065291,17.52824749789193,-1.918125707547963,-14.956490434629277,-1.8353869425536966,0.49892270164832087
5.3072,0.2501,,,,,,,0.1343,,1.4976,,,8.3753,100,100,100,100,100,100,32.81747976597218,4.633947487271793,23.79550038193845,2.489443438753937,-27.996413324793973,-3.9708591057541054,1.079419117012556
,0.1698,,,,0.1718,5.2161,3.7268,,2.2235,,,,1.3494,100,100,100,100,100,100,25.69884577785771,-10.018217560687155,16.171994336229112,-1.6162008098247573,-20.112230538670804,-2.0007254436440745,0.5438675194074158
0.4147,8.4744,1.67,1.1624,0.1593,1.8943,,,,3.2944,,,,8.0657,100,100,100,100,100,100,47.73195072337223,10.465734655665006,42.06431886922101,-1.0071053684152649,-42.59438894842635,-6.120915696300811,1.6638800925057347
,,0.6903,,,,0.1178,,0.1877,0.4295,0.1663,,,,100,100,100,100,100,100,3.6424448522804758,-0.9043683163573748,3.9105828959657365,-0.10789576692754249,-3.8856188443313613,-0.0727912554644139,0.019787222514587453
2.1391,0.1108,1.2831,,7.1446,0.1899,1.6499,,,,,,0.713,5.4732,100,100,100,100,100,100,33.19696340947548,-7.075698307952663,24.401789128595603,2.1683654822335003,-28.085984179357027,-3.191630160744469,0.867597292724197
,0.6729,0.9264,0.125,,,5.1807,,0.3365,0.1982,0.2116,0.5164,,,100,100,100,100,100,100,16.40364975945981,-5.638981473012017,13.30068689196186,-1.7524033930189424,-13.346756045648704,-1.1822488193036111,0.3213767959615137
,0.1548,0.2256,0.2015,,,,,0.6026,0.6504,8.6552,1.4254,,,100,100,100,100,100,100,9.412167862048705,4.882012243712397,11.624014028952924,-1.7707498406039386,-13.311384343356984,-1.1946261441148989,0.3247413880215558
,,0.1554,,,,6.7479,,0.5974,0.5589,1.0648,4.0373,,,100,100,100,100,100,100,18.432412438355204,-7.934378835013169,14.155833635475334,-1.878748149972077,-15.154031170716065,-1.2674865792441066,0.34454741600133476
,2.0525,,,,1.2136,,0.9345,5.8038,,,,6.8877,,100,100,100,100,100,100,40.638366624541014,-11.230941901476731,16.5743938076359,8.760710979081363,-28.179404700926714,-3.3831309604704796,0.9196539430968735
0.4887,5.8889,0.3467,0.8455,2.2658,,0.2774,0.1328,,3.4422,,,,0.2216,100,100,100,100,100,100,21.653345588325962,11.472177713766262,29.144301938184388,-4.180265958007228,-23.357214112010652,-2.969693423511089,0.8072670844350099
1.2181,,,0.6866,,1.1463,,2.0453,,0.4961,,,3.0243,1.0991,100,100,100,100,100,100,22.71238978645799,-4.862278493175921,8.66387391329296,4.305959007357408,-17.00938524537927,-1.9171641339558272,0.5211526174887382
0.1568,8.2538,0.163,7.9572,9.6901,,,,,,,0.1072,6.6379,0.2925,100,100,100,100,100,100,57.55920981365555,1.9372851708491095,41.30754316054151,4.432716617168179,-48.17848787467156,-6.163268520837634,1.6753930793045437
,,,,5.3048,2.2307,,0.2773,,,,,0.3689,2.3633,100,100,100,100,100,100,19.892357548883997,-7.940918871370644,11.89155612582257,0.9688319970991919,-15.56617512551369,-1.4385222825468007,0.3910409336305769
2.7366,0.7912,,,,0.1522,,,,0.759,,,,,100,100,100,100,100,100,9.832077368483368,6.112896847369259,12.616994275511125,-1.744378676437452,-10.069035051173119,-1.1768349906489248,0.3199051269875019
,,,7.2818,,6.2752,0.9338,8.0658,8.8626,,,,0.1038,,100,100,100,100,100,100,68.89986055596596,-29.23028195774169,32.46353835192944,-7.004969705923533,-40.00735504008087,-4.865918459723612,1.3227277189560471
0.4477,1.6309,,4.1335,0.1319,,,1.168,2.6295,0.1043,0.1939,,0.1938,0.2251,100,100,100,100,100,100,21.933389186301074,-2.759808466054911,15.516023348308543,-2.0887985720984945,-15.488168774915536,-1.8225503956093636,0.49543327686665467
0.5655,0.1338,,,,,,3.8142,,0.3858,,,0.1056,0.1028,100,100,100,100,100,100,12.366493254277513,-3.8500168316858354,6.124892669594943,-0.8263536779752466,-8.592116022927161,-0.7693330170128225,0.209131763126329
,2.8,,3.0768,0.1366,6.0012,4.092,0.7132,,4.9029,2.1294,,1.0149,0.3793,100,100,100,100,100,100,43.70992556928205,-2.6990696201383275,33.2595172691357,-4.363552246027396,-37.24569113896509,-4.5691306883548295,1.242050367889415
,0.7069,1.7651,,,2.145,4.6172,,,2.0637,0.2676,,,0.2023,100,100,100,100,100,100,21.865666005082634,-5.06959750471638,18.475648057756814,-2.685700359236419,-18.896103575631116,-1.9483727482253093,0.529636216115834
7.2968,2.6047,0.9151,,3.3214,1.7176,,,,0.1152,0.3667,0.2928,2.9386,,100,100,100,100,100,100,38.17903811929708,12.31259873287592,35.43433988249551,-1.1525896455945341,-33.80023554277274,-4.742606948585796,1.2892073146996967
,0.1129,,4.9303,0.3327,,1.5162,0.3147,0.1381,6.5348,,,1.1916,,100,100,100,100,100,100,19.301483992201224,-0.39550596241509983,19.110441262758727,-0.6581614580330453,-20.91960601728339,-2.0518369270221166,0.5577614176263651
,2.0783,1.358,0.878,,,,5.1973,0.4147,,2.9139,,0.9809,,100,100,100,100,100,100,25.311585088393674,-2.6724940553668945,15.311248309883355,-1.5037740505929407,-19.492315766230657,-2.3380295004247627,0.6355586213675399
,,3.3779,,,,,,,,0.9668,0.1967,0.4764,,100,100,100,100,100,100,7.8781878215768195,-1.2331800484269244,7.573792125427226,0.1108181060848547,-7.944871230549218,-0.5680382176396838,0.15441275930075274
1.7401,0.8302,0.1489,,,,0.1183,,,3.3026,0.3878,0.4247,,,100,100,100,100,100,100,8.923205233897846,6.590657089166133,14.64076140041439,-1.896290596999253,-11.958504625184736,-1.2793214897265823,0.3477645607759787
0.4854,1.0546,2.7595,0.6628,0.3344,,,,0.6066,,,,,,100,100,100,100,100,100,11.159023828178972,0.42418790888911173,11.848382251085841,-1.4662453913056042,-9.910151194506659,-0.9891939775887478,0.2688977023374424
0.8722,2.0625,5.657,0.123,,2.9168,,,6.9219,0.7552,0.1092,0.1143,7.349,,100,100,100,100,100,100,55.556387784084926,-11.807654654480414,31.680021791806823,6.992387546358466,-41.157747584984456,-5.198546899429833,1.4131478238045634
4.45,0.8018,,4.6277,,2.7084,,,,2.4193,0.2521,,2.8004,1.8827,100,100,100,100,100,100,38.19284825460154,3.9234663477738687,26.874398271736393,1.1407012830936054,-32.029601160151806,-4.279132489708702,1.1632186614044835
,,4.177,2.3955,,0.4187,,2.4902,0.1582,,,2.8167,,,100,100,100,100,100,100,17.776496816794094,-5.811239957112198,11.9089494158176,-1.8743551606110938,-13.114246948619481,-1.26452287436547,0.3437417768139474
,,0.1099,,0.4754,1.156,,,,0.2071,,0.5335,,0.4468,100,100,100,100,100,100,6.552828068359274,-2.303271116572171,4.09453164953782,0.04242598327241952,-5.294792886298909,-0.2728085928946152,0.07415896726958274
8.8993,1.0105,0.1942,2.951,1.6134,,4.7685,,,5.2992,2.023,,,0.1663,100,100,100,100,100,100,41.53184192887344,16.077431866780998,49.92909670306982,-8.180243840637266,-42.13001176929289,-5.6309475547520815,1.5306895247647565
0.8409,0.4045,0.6005,,0.6027,,,5.3352,,,0.4234,7.2197,,5.3441,100,100,100,100,100,100,29.814809221830927,-8.621741229451635,13.518271241181996,1.5548501264184393,-21.21586430933685,-2.5563955233906603,0.6949181839754932
,2.0377,0.2682,,0.2421,1.891,,8.0945,0.4806,,1.3303,,,3.7146,100,100,100,100,100,100,39.398399765527266,-10.437929025542541,18.211466230449393,-1.296151065280239,-26.677772765349285,-3.380474241462448,0.918931753462485
,0.6137,0.3348,1.9534,,,,0.217,,,0.556,2.4417,0.3393,2.37,100,100,100,100,100,100,13.387933033714525,-2.161115556304179,7.414039482451205,1.4231751079469506,-10.772961239828412,-1.096583507628259,0.29808995232779406
6.7167,,,0.8977,,1.0712,0.2142,,9.0246,,,7.3095,0.391,0.1644,100,100,100,100,100,100,41.18768344537367,-0.5234851350399577,35.43399093701453,-5.062285197191124,-28.984274936630925,-4.053724734981465,1.1019449085224315
,,0.5419,0.1272,0.3744,,0.3213,,,0.1472,1.4424,0.1408,,,100,100,100,100,100,100,4.6578738194748475,-0.47811792526618724,4.7952290849380015,-0.3283591553892583,-5.232405271289413,-0.2215256060978738,0.06021844839151603
,0.1695,,,0.5807,0.7098,,9.8624,,,,,,1.3446,100,100,100,100,100,100,29.66171860272774,-13.931520457302064,9.634736713437063,-1.5048765847668635,-17.81307396517475,-1.9223829064667641,0.5225712633448616
0.3263,,,,,,0.4291,0.8171,,,0.2651,8.9566,0.1952,,100,100,100,100,100,100,5.894922543547402,-1.678941937553572,3.683180253920517,0.06316185229771157,-4.828841670865732,-0.22076932474185956,0.06001286452873545
1.4161,,,,,7.965,,,,,5.2271,,0.2862,,100,100,100,100,100,100,28.492900777636436,-1.552961774609326,17.13289937230422,-3.491223965872899,-22.136783203739416,-2.741500418731065,0.7452362026615501
5.9317,0.5495,,0.701,,,,,0.1835,,1.0822,,3.1868,,100,100,100,100,100,100,24.704587857661924,9.112484044960175,20.270982464696246,1.8737939441496139,-22.164241169507473,-3.03576814437661,0.8252285166979142
,0.5725,0.121,2.9325,0.1173,,,0.16,,5.1054,1.7785,,,4.0264,100,100,100,100,100,100,19.71040977830738,1.4946529601850254,18.245098505285025,0.482283063743918,-21.314187831783446,-2.3910180042189917,0.6499627597300619
0.1866,0.2788,0.1947,,,,,,,4.1924,2.7215,,0.3825,2.706,100,100,100,100,100,100,12.843663123677624,2.963190337066319,13.866347529027884,0.9335478549374202,-16.314573755846993,-1.7118774218826605,0.46534847143900043
7.5547,0.6244,,2.7438,0.7182,1.4791,,2.3907,8.3523,0.3171,6.1095,,,5.761,100,100,100,100,100,100,66.93659139336292,0.08866768218324866,51.245775587984035,-4.980653843340369,-51.556501177641486,-7.246794673103036,1.9699335833590712
,,,,,8.3807,,1.0542,0.6454,0.2493,0.6639,,2.9366,,100,100,100,100,100,100,34.55655513275228,-11.583630643818378,11.728153919301144,1.9452895580564529,-22.756411474094172,-2.6499420743063804,0.7203474255324865
,,0.2179,,,2.0844,,0.6362,,1.6214,,,0.1788,7.3332,100,100,100,100,100,100,26.34931743379173,-7.449461803335988,12.132256520520581,4.093572564368391,-20.731435025059767,-2.4268486956165547,0.6597028014289167
,,,5.1383,0.251,0.353,0.142,,0.2909,1.3374,0.1027,3.9435,,0.1158,100,100,100,100,100,100,12.71690033641455,-2.4054141908443536,9.283910343803054,-1.1855016979144608,-10.487798984272729,-0.877915668302146,0.2386483454215194
,,0.9161,0.8702,4.8569,,4.608,,,,,1.2859,0.2583,9.3,100,100,100,100,100,100,40.7124480727754,-15.84525133625216,22.806235843772672,4.61644766930783,-32.09166430856006,-3.5082527103354497,0.9536664338857405
,2.3654,,,1.0052,0.1345,0.1114,3.8354,7.6557,,1.4657,6.5741,0.6379,,100,100,100,100,100,100,35.98860890940174,-10.002467958844386,24.088235449810263,-3.0061245620146426,-23.81335734944262,-2.888775654027898,0.7852707896887187
7.157,6.034,,,,,6.2937,,0.586,0.341,,0.6386,,,100,100,100,100,100,100,43.4549815205731,16.358208269138,47.852906928135866,-8.186704604683742,-38.32739039794347,-5.523112938169415,1.5013762846030934
0.1071,0.2386,,,4.8094,0.2978,,0.6745,0.787,,0.1898,,,1.0641,100,100,100,100,100,100,14.025747266619392,-5.411277584998117,10.997913011377126,-0.30723364628726746,-11.53854777489537,-0.9251623174510293,0.25149164581265926
1.0324,,,,2.3702,4.1826,,,,0.1817,,0.8082,1.8474,,100,100,100,100,100,100,21.485276300103212,-5.019988642597819,11.176712073376407,1.1368737542550924,-16.018346023418626,-1.7256901555571027,0.46910325809582326
0.1115,,0.3807,0.1444,,,,,,,,,,1.2089,100,100,100,100,100,100,5.544488262272404,-1.6492741829184085,3.452043391980733,0.8572607749061569,-4.793283885047677,-0.23723137055324636,0.06448782737196362
1.0569,1.2522,0.2773,,,,1.3494,1.193,,,7.896,,,6.3752,100,100,100,100,100,100,30.667004251049,1.6182831120291867,21.346055522298496,1.0118892246623779,-28.42257771287268,-3.6183266118754474,0.9835883904301685
,0.3198,,,0.3386,,0.5009,2.9077,0.1896,2.61,0.5441,,0.5043,0.2135,100,100,100,100,100,100,13.526160708518512,-2.6729798054982563,9.97721935980607,-0.48974762694810936,-12.338615608475468,-1.1548881061572052,0.31393919214864113
,,2.4624,,,4.1624,0.2316,,7.6666,0.4736,,,0.2606,3.237,100,100,100,100,100,100,41.17210496091967,-16.111605242942698,24.50977801616931,-0.9898119427358909,-26.945433781526148,-3.20321881120572,0.8707474953667644
0.1308,2.0063,3.1975,9.9276,,5.1591,4.8625,5.3433,,,,3.338,,,100,100,100,100,100,100,60.58174371706835,-16.403895616650953,34.75514363382154,-7.461856266277446,-41.10223458608183,-5.034098196661313,1.3684448845139092
,,2.6218,,,1.2398,,,0.2384,,,2.9515,0.1686,,100,100,100,100,100,100,9.244632012602818,-2.796547164827404,7.153382939448843,-0.5105806948967669,-7.502385962615626,-0.571950345201866,0.15547621311927215
1.3436,,,,,0.1298,,,2.0317,,,,7.0024,,100,100,100,100,100,100,26.328776305895495,-6.297775413196046,7.398746450467518,10.734744263862178,-19.97276068152839,-2.206124199774472,0.5997021229712851
,,,,7.9109,1.254,,9.9365,,,,0.2957,,,100,100,100,100,100,100,35.42027303749195,-17.83908917959106,17.56126980420116,-3.384979403864692,-23.512091353071476,-2.283656787888239,0.6207782064012421
,0.2914,1.1738,1.0395,1.3176,,,0.2159,,0.6521,,0.3998,0.2498,,100,100,100,100,100,100,8.19181260260157,-1.516860346093625,7.692791895468741,-0.3010427390239618,-7.813610719058139,-0.5401489957539999,0.14683148823062683
,1.7068,0.563,,,0.1038,,,,,4.6586,,0.2668,,100,100,100,100,100,100,9.497892393922447,5.107621705253486,10.818221109263847,-1.209290398524742,-11.220465620570321,-1.1758309325581195,0.3196321886965858
9.9768,0.8177,1.4196,0.5911,,2.1053,0.3358,0.2134,,0.1983,0.1377,,2.6818,2.471,100,100,100,100,100,100,45.06105324700062,12.966298638605666,37.81639906569698,-0.4809468123921977,-38.20659506225028,-5.610035588825406,1.5250049171787308
0.4072,0.7879,0.5128,9.5577,2.1066,0.1418,4.4708,0.7515,,0.782,0.1397,,,2.2203,100,100,100,100,100,100,38.3205183675267,-9.519139521391686,25.320260741922162,-2.6254507247136347,-29.127274659185723,-3.2691577154863367,0.8886720079066949
,5.7611,,,,0.3823,,,,0.1677,4.2693,0.363,9.0722,0.1629,100,100,100,100,100,100,38.76671995720734,5.635857227817952,19.658716842068728,11.546845377275796,-34.6358716610418,-4.560901632301878,1.2398134211275316
,0.2181,,1.703,0.8501,,,0.1407,1.4716,4.613,,0.2628,,1.3922,100,100,100,100,100,100,13.897544807307893,-0.6162295210865328,15.155533586799276,-0.7676824799311855,-14.892707575968307,-1.4571522298494128,0.3961052083207138
,,0.2388,0.1418,,,,1.7683,1.1604,,2.4913,,,,100,100,100,100,100,100,10.243279517632306,-2.657401372882585,6.704704474729735,-0.9732945261189407,-8.28297208628582,-0.6566275259011449,0.17849444801183625
,,0.2849,,8.4701,,,,9.0753,,0.2212,0.2048,0.5188,2.8764,100,100,100,100,100,100,39.0665284740539,-18.400531522118555,28.23628124475571,-0.24368347538341972,-27.522718448765826,-2.8049571231097343,0.7624859659960792
,3.7419,,0.6137,0.7977,0.1225,,,,0.6804,,,,0.2083,100,100,100,100,100,100,12.377992432884227,5.716489814391611,14.611694606560905,-1.9090743798561578,-12.075967748217318,-1.428474385852558,0.3883095620334808
,,,3.7375,4.7577,2.1012,1.0334,0.3145,1.46,2.6291,,0.355,5.8002,,100,100,100,100,100,100,38.78575908167935,-12.029974059251726,19.44612367204714,6.739137483065158,-31.222926570707237,-3.2796226564422155,0.8915167467970302
,,,,2.6671,0.3195,,,,,,0.2067,,,100,100,100,100,100,100,5.482932649498815,-2.623173632055691,5.091924116829507,-0.18563613654669536,-5.124074166249543,-0.12523834644849516,0.03404418583969612
0.8129,,,0.2814,,,,0.7796,,,2.0874,3.4224,,,100,100,100,100,100,100,6.754850054067608,1.1102429207835312,5.985791438522046,-0.8021114794839713,-6.708186768887259,-0.5411398730152752,0.14710084350865052
4.2429,0.1224,2.9816,0.9706,,,,,2.0295,,0.2575,0.2197,,3.5308,100,100,100,100,100,100,28.382603824768314,1.874788238303672,24.47509184885183,-1.0759701468507654,-23.25442866214113,-3.1079308500622718,0.8448448772833423
,,0.6016,0.7661,,0.4577,,,0.5928,5.5515,0.139,,1.5514,3.0423,100,100,100,100,100,100,18.595062923720818,-1.0990562394952617,15.330179253183408,3.003612052977045,-19.819606179377857,-2.1193866840363538,0.5761238165755131
0.9272,,,0.1089,,0.7509,0.1105,,,,,,,,100,100,100,100,100,100,6.063565349403505,0.06460160827548556,5.0309705057007,-0.5154612866203565,-5.093677498489884,-0.3477529773859873,0.09453148595590462
0.2817,,1.0937,0.3755,,,,0.3152,0.2519,,1.3347,,,0.2108,100,100,100,100,100,100,6.797738563149778,-0.5304989267379536,6.024168254978354,-0.4672665728956267,-6.4610752186434555,-0.4574536938290121,0.12435199767009888
1.4304,1.991,,1.4382,1.0719,2.3519,,0.1296,1.5867,,0.6668,,0.1722,0.6101,100,100,100,100,100,100,23.938157038435456,0.4778348217970322,18.821197657373585,-2.4946636987185937,-18.361817031083532,-2.3269583513930656,0.6325490938084275
0.3945,,4.3625,,0.5837,0.7965,,,0.3724,4.6897,,,1.282,,100,100,100,100,100,100,16.355583617319695,0.299877398610441,18.918888508767267,-0.1944419680529923,-18.6505400948604,-1.8609669285278463,0.5058762412069017
1.0298,,,8.5443,,0.2591,1.01,6.6564,7.6431,0.9999,2.2069,0.2508,5.3719,,100,100,100,100,100,100,65.80048401218073,-21.285344207783975,30.237893881214607,2.822845316859609,-44.202737058472785,-5.343826289771968,1.4526398700008063
,,3.6152,1.0896,,,0.1842,,,,,1.8123,3.855,,100,100,100,100,100,100,17.758580423303172,-5.067759018022589,7.721493199430595,5.612753908946845,-14.749523328624003,-1.4148949521635197,0.3846181945153234
0.4238,,4.7578,1.0474,,,2.839,,,,,,4.8311,0.7197,100,100,100,100,100,100,29.455373904474794,-8.62568065053314,14.705257403440719,6.587468993580615,-23.932280490720114,-2.5598909447100664,0.6958683623861837
3.443,0.3459,,,,,0.3058,,,0.2775,0.4902,0.1633,9.6238,0.9632,100,100,100,100,100,100,35.78600302251619,-1.685298056224742,12.258937891869904,14.747044943219466,-29.703780336713645,-3.686090765731098,1.002009069978824
,3.4045,0.2295,,,1.854,,9.3768,,,,,3.3249,,100,100,100,100,100,100,42.464362471652954,-9.517847261373014,17.22641966852505,1.2614080771093996,-28.428668240789193,-3.635247463090085,0.9881880727132114
7.5123,,,1.2154,,3.4419,,,,2.462,,0.6103,0.5376,,100,100,100,100,100,100,29.81756745267203,11.436380907271637,30.05197285850103,-4.527315759280707,-26.773324790314234,-3.779704871564334,1.027456675337571
,,7.104,,,1.953,,,,,,,1.4005,0.6753,100,100,100,100,100,100,20.779058951121513,-5.414811983398162,14.860316011347638,0.8268839632638718,-17.226431053514656,-1.7874132141911194,0.4858817555634044
0.3862,0.1107,0.1159,,2.1026,0.1075,1.5399,,,0.1467,5.6965,0.3304,3.3867,,100,100,100,100,100,100,19.825403756009788,-1.4326510837743185,11.998541140125202,3.8230032935994216,-19.62401208342511,-1.9904680831565227,0.5410792081867262
0.315,1.6116,,,,,0.1057,2.7392,6.8053,,,0.5355,0.1259,,100,100,100,100,100,100,27.446142856805793,-8.54831640581177,18.674889798655478,-2.7393254467791346,-17.151665896524587,-2.017945492419748,0.5485485341070893
0.1222,,,,,,,0.1477,,,1.7618,6.4263,,0.1032,100,100,100,100,100,100,3.6231349955640306,0.31862809951676624,3.4192575503057996,-0.11981247961341054,-4.257451998263366,-0.1504540802438832,0.04089870884929033
2.8627,,2.143,9.05,,,,,1.9386,1.3157,0.1172,,,0.4679,100,100,100,100,100,100,30.240263012708255,-0.2265774114962712,25.361554333929433,-3.821334072312735,-24.007611693936116,-2.8937069728977542,0.7866112955385738
1.4098,,,4.4111,3.6068,,0.6867,,,,,,2.9431,1.3346,100,100,100,100,100,100,26.593728117474434,-5.479867887500646,14.524516444507872,3.8320092650530353,-21.187488356494356,-2.2862280803714397,0.6214771741026556
3.8737,5.3018,,,0.6739,8.6665,7.2424,,1.4014,,3.0582,0.6645,0.2757,0.8854,100,100,100,100,100,100,65.71780140756346,0.3356851855642775,50.92477412170718,-8.87958912960342,-50.789975609306666,-6.959892292230038,1.8919434289912376
0.3595,0.1146,,,7.5325,,,,,,0.2655,0.1758,,0.7377,100,100,100,100,100,100,12.525493338412817,-4.480909372902698,12.693982198035338,-0.49284708332184207,-12.02849334519312,-0.8301814765654583,0.22567251381342476
,2.2605,,3.7485,0.5919,8.0414,4.4459,,,,6.2559,9.1867,0.1464,1.737,100,100,100,100,100,100,50.12792069489734,-6.786195134345617,31.486259682104475,-5.117990339553382,-38.66009966871674,-4.822215434660229,1.3108477001821779
1.375,3.9293,7.1815,,,,0.5095,,1.1495,,,,,,100,100,100,100,100,100,25.42757039572177,5.8003746545539006,29.687553792213652,-4.430705708691187,-23.08392432951402,-2.989149994601362,0.8125560645340385
2.9868,1.5828,0.405,,,0.1001,,5.1876,,,,0.2265,,0.5307,100,100,100,100,100,100,24.53608484913001,1.15739535492359,17.6923166857903,-3.0571650264869104,-18.222337453824565,-2.420532400406656,0.6579858103152352
1.7064,,1.4421,0.7548,,0.6101,,0.1772,,,,2.1393,,,100,100,100,100,100,100,10.228281272476295,1.112098634116039,9.672265414567773,-1.3274818859475594,-8.782129209619784,-0.8955779808236708,0.24344958295693186
0.8979,1.6388,,0.5588,0.4633,,,7.8238,,6.2376,0.2718,0.2251,5.3877,0.6237,100,100,100,100,100,100,41.88827258426885,-4.979069210570546,23.12004512876138,4.953207905852377,-35.78621768219213,-4.348683840731501,1.1821251639795363
5.6972,,6.169,2.0314,9.327,0.1025,,,2.2104,,,,,,100,100,100,100,100,100,39.24283222037216,0.260972919113467,42.93530446424008,-6.092721938850552,-34.62245628259614,-4.110419636966269,1.1173565762269937
,0.3974,,,,6.1022,0.544,0.1124,0.8681,0.1711,,,1.7633,1.9297,100,100,100,100,100,100,30.157024522038068,-9.60864900217548,12.069389056861137,1.9142222811098433,-20.3759349293868,-2.3896422580107783,0.6495887835405987
6.7532,0.8045,,,,0.175,,5.6852,2.8545,0.3066,1.6484,2.5444,,1.1853,100,100,100,100,100,100,40.1089418694816,3.819922597506728,32.04715872737185,-5.235174274161764,-30.5711260412175,-4.3315358554061785,1.1774637386593612
1.8453,1.4341,,0.4966,,,,2.7415,3.4187,,6.5713,0.1102,0.33,,100,100,100,100,100,100,27.042199877535708,2.3414358415864616,22.398058105075705,-3.6398388313560726,-22.842700142916655,-2.9008614122853422,0.7885561237082004
,,,,2.7646,,8.7941,,1.5074,0.583,0.2169,4.5271,,0.3037,100,100,100,100,100,100,27.704913324919115,-13.534501152562584,21.170278021044393,-2.534283654800933,-21.73835541277942,-1.9146292677002832,0.5204635517167204
0.32,0.3713,1.7784,,0.1118,,,0.8414,,2.1772,,1.2945,,3.119,100,100,100,100,100,100,15.063684389022525,-1.3459182325149468,12.394014679504446,0.8179831574405633,-14.35212391886353,-1.5523677117670274,0.42198812400224395
0.1764,0.9395,0.7406,0.1074,,0.2521,0.1641,,4.7278,0.1954,,,0.759,1.9585,100,100,100,100,100,100,22.95043206043629,-6.626972063125839,15.059312972867302,0.7734693153445946,-16.098336811292707,-1.8235840264894743,0.49571425408146375
5.1988,3.697,3.6278,,5.9894,,,,1.0928,0.3023,0.3634,,0.6064,,100,100,100,100,100,100,35.047002478009404,10.518077815820043,40.98310121587378,-5.184230827223517,-32.7787071179461,-4.315719869444531,1.1731643975982105
,0.6072,,,,,0.1783,,,,6.7757,,0.8885,,100,100,100,100,100,100,9.347960746730818,3.9955002436954086,8.729824645792373,0.11096022887226703,-11.849177805966294,-1.1239841010210503,0.3055383969937892
